Código,Descripción,Categoría,Sección,Capítulo
00.17,INFUSON AGENTE VASOPRESOR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.18,TERAPIA INFUSION ANTICUERPO INMUNOSUPRESORE TRANSPLANTE ORGANO SOLIDO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.19,INFUSION AGENTE INTERRUPCION BARRERA HEMATOENCEFALICA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.2,IMAGEN INTRAVASCULAR VASO SANGUINEO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.21,IMAGEN INTRAVASCULAR VASO CEREBRAL EXTRACRANEAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.22,IMAGEN INTRAVASCULAR VASO INTRATORACICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.23,IMAGEN INTRAVASCULAR VASO PERIFERICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.24,IMAGEN INTRAVASCULAR VASO CORONARIO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.25,IMAGEN INTRAVASCULAR VASO RENAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.28,IMAGEN INTRAVASCULAR VASO SANGUINEO.OTRO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.29,IMAGEN INTRAVASCULAR VASO SANGUINEO.NEOM,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.3,CIRUGIA ASISTIDA POR ORDENADOR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.31,CIRUGIA ASISTIDA POR ORDENADOR CON TAC,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.32,CIRUGIA ASISTIDA POR ORDENADOR CON RNM,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.33,CIRUGIA ASISTIDA POR ORDENADOR CON FLUOROSCOPIA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.34,CIRUGIA ASISTIDA POR ORDENADOR SIN IMAGEN,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.35,CIRUGIA ASISTIDA POR ORDENADOR CON CONJUNTO DATOS MULTIPLE,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.39,CIRUGIA ASISTIDA POR ORDENADOR.OTRA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.4,PROCEDIMIENTO ACCESORIO SISTEMA VASCULAR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.40,PROCEDIMIENTO UN SOLO VASO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.41,PROCEDIMIENTO DOS VASOS,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.42,PROCEDIMIENTO TRES VASOS,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.43,PROCEDIMIENTO CUATRO O MAS VASOS,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.44,PROCEDIMIENTO BIFURCACION VASO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.45,INSERCION ENDOPROTESIS VASCULAR UNICA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.46,INSERCION ENDOPROTESIS VASCULAR DOBLE,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.47,INSERCION ENDOPROTESIS VASCULAR TRIPLE,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.48,INSERCION ENDORPOTESIS VASCULAR CUATRO O MAS,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.49,TERAPIA OXIGENO SUPERSATURADO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.5,PROCEDIMIENTO CARDIOVASCULAR OTRO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.50,IMPLANTACION MARCAPASOS RESINCRONIZACION CARDIACA SIN DESFIBRILADOR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.51,IMPLANTACION MARCAPASOS RESINCRONIZACION CARDIACA CON DESFIBRILADOR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.52,IMPLANTACION O SUSTITUCION ELECTRODO TRANSVENOSO VENTRICULO IZQUIERDO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.53,IMPLANTACION MARCAPASOS RESINCRONIZACION CARDIACA SOLO GENERADOR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.54,IMPLANTACION DESFIBRILADOR RESINCRONIZACION CARDIACA SOLO GENERADOR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.55,INSERCION STENT ARTERIAL NO CORONARIO CON LIBERACION MEDICAMENTO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.56,INSERCION SENSOR MONITORIZACION HEMODINAMICA INTRACARDIACA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.57,INSERCION DISPOSITIVO MONITORIZACION HEMODINAMICA INTRACARDIACA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.58,INSERCION DISPOSITIVO MEDIDA PRESION SACO INTRAANEURISMATICO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.59,MEDIDA PRESION INTRAVASCULAR ARTERIA CORONARIA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.6,PROCEDIMIENTO VASO SANGUINEO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.60,INSERCION STENT/S LIBERADOR FARMACO ARTERIA FEMORAL SUPERFICIAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.61,ANGIOPLASTIA PERCUTANEA PRECEREBRAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.62,ANGIOPLASTIA PERCUTANEA INTRACRANEAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.63,INSERCION PERCUTANEA ENDOPROTESIS ARTERIA CAROTIDA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.64,INSERCION PERCUTANEA ENDOPROTESIS ARTERIA PRECEREBRAL OTRA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.65,INSERCION PERCUTANEA ENDOPROTESIS INTRACRANEAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.66,ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA (ACTP) O ATERECTOMIA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.67,MEDIDA PRESION INTRAVASCULAR ARTERIA INTRATORACCA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.68,MEDIDA PRESION INTRAVASCULAR ARTERIA PERIFERICA,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.69,MEDIDA PRESION INTRAVASCULAR VASO ESPECIFICADO OTRO Y NEOM,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.7,PROCEDIMIENTO CADERA OTRO,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.70,REVISION SUSTITUCION CADERA.COMPONENTE ACETABULAR Y FEMORAL,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
00.71,REVISION SUSTITUCION CADERA.COMPONENTE ACETABULAR,"00 PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS BAJO OTROS  CONCEPTOS",00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS,00. (00 00) PROCEDIMIENTOS E INTERVENCIONES NO CLASIFICADOS BAJO OTROS CONCEPTOS
